dataset	species	axis	submodule_id	display_label	n_module_genes	n_detected	coverage_fraction	coverage_class	detected_genes	missing_genes	interpretation_scope
GSE252321	Mus musculus	lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	20	20	1.0	adequate	ASAH1;CERS1;CERS2;CERS3;CERS4;CERS5;CERS6;DEGS1;KDSR;SGMS1;SGMS2;SGPL1;SMPD1;SMPD2;SMPD3;SPHK1;SPHK2;SPTLC1;SPTLC2;SPTLC3		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	lipid_metabolism	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	17	16	0.9412	adequate	ALOX12;ALOX15;ALOX5;ALOX5AP;HPGD;HPGDS;LTA4H;LTC4S;PLA2G4A;PTGDS;PTGES;PTGES2;PTGES3;PTGS1;PTGS2;TBXAS1	CYP4F2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	lipid_metabolism	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	17	0	0.0	unresolved		ALOX12;ALOX15;ALOX5;ALOX5AP;CYP4F2;HPGD;HPGDS;LTA4H;LTC4S;PLA2G4A;PTGDS;PTGES;PTGES2;PTGES3;PTGS1;PTGS2;TBXAS1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	lipid_metabolism	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	17	17	1.0	adequate	ALOX12;ALOX15;ALOX5;ALOX5AP;CYP4F2;HPGD;HPGDS;LTA4H;LTC4S;PLA2G4A;PTGDS;PTGES;PTGES2;PTGES3;PTGS1;PTGS2;TBXAS1		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	lipid_metabolism	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	17	15	0.8824	adequate	ALOX12;ALOX15;ALOX5;ALOX5AP;HPGD;HPGDS;LTA4H;LTC4S;PLA2G4A;PTGES;PTGES2;PTGES3;PTGS1;PTGS2;TBXAS1	CYP4F2;PTGDS	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	15	15	1.0	adequate	ABHD5;CIDEA;CIDEC;DGAT1;DGAT2;FITM2;LIPE;PLIN1;PLIN2;PLIN3;PLIN4;PLIN5;PNPLA2;SOAT1;SOAT2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	15	0	0.0	unresolved		ABHD5;CIDEA;CIDEC;DGAT1;DGAT2;FITM2;LIPE;PLIN1;PLIN2;PLIN3;PLIN4;PLIN5;PNPLA2;SOAT1;SOAT2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	15	15	1.0	adequate	ABHD5;CIDEA;CIDEC;DGAT1;DGAT2;FITM2;LIPE;PLIN1;PLIN2;PLIN3;PLIN4;PLIN5;PNPLA2;SOAT1;SOAT2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	15	14	0.9333	adequate	ABHD5;CIDEA;DGAT1;DGAT2;FITM2;LIPE;PLIN1;PLIN2;PLIN3;PLIN4;PLIN5;PNPLA2;SOAT1;SOAT2	CIDEC	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	16	16	1.0	adequate	ABCA1;ABCG1;FABP4;INSIG1;INSIG2;LPL;NR1H2;NR1H3;PPARA;PPARD;PPARG;RXRA;RXRB;SCAP;SREBF1;SREBF2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	16	0	0.0	unresolved		ABCA1;ABCG1;FABP4;INSIG1;INSIG2;LPL;NR1H2;NR1H3;PPARA;PPARD;PPARG;RXRA;RXRB;SCAP;SREBF1;SREBF2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	16	16	1.0	adequate	ABCA1;ABCG1;FABP4;INSIG1;INSIG2;LPL;NR1H2;NR1H3;PPARA;PPARD;PPARG;RXRA;RXRB;SCAP;SREBF1;SREBF2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	16	16	1.0	adequate	ABCA1;ABCG1;FABP4;INSIG1;INSIG2;LPL;NR1H2;NR1H3;PPARA;PPARD;PPARG;RXRA;RXRB;SCAP;SREBF1;SREBF2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	16	15	0.9375	adequate	ACSL4;AIFM2;ALOX12;ALOX15;DHODH;FTH1;GCH1;GPX4;HMOX1;LPCAT3;NCOA4;SAT1;SLC40A1;SLC7A11;TFRC	FTL	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	16	0	0.0	unresolved		ACSL4;AIFM2;ALOX12;ALOX15;DHODH;FTH1;FTL;GCH1;GPX4;HMOX1;LPCAT3;NCOA4;SAT1;SLC40A1;SLC7A11;TFRC	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	16	16	1.0	adequate	ACSL4;AIFM2;ALOX12;ALOX15;DHODH;FTH1;FTL;GCH1;GPX4;HMOX1;LPCAT3;NCOA4;SAT1;SLC40A1;SLC7A11;TFRC		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	16	15	0.9375	adequate	ACSL4;AIFM2;ALOX12;ALOX15;DHODH;FTH1;GCH1;GPX4;HMOX1;LPCAT3;NCOA4;SAT1;SLC40A1;SLC7A11;TFRC	FTL	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	18	17	0.9444	adequate	ALDOA;ALDOB;ALDOC;ENO1;ENO2;GAPDH;HK1;HK2;LDHA;PFKL;PFKM;PFKP;PGAM1;PGK1;PKM;SLC2A1;TPI1	GPI	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	18	0	0.0	unresolved		ALDOA;ALDOB;ALDOC;ENO1;ENO2;GAPDH;GPI;HK1;HK2;LDHA;PFKL;PFKM;PFKP;PGAM1;PGK1;PKM;SLC2A1;TPI1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	18	18	1.0	adequate	ALDOA;ALDOB;ALDOC;ENO1;ENO2;GAPDH;GPI;HK1;HK2;LDHA;PFKL;PFKM;PFKP;PGAM1;PGK1;PKM;SLC2A1;TPI1		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	18	16	0.8889	adequate	ALDOA;ALDOC;ENO1;ENO2;GAPDH;HK1;HK2;LDHA;PFKL;PFKM;PFKP;PGAM1;PGK1;PKM;SLC2A1;TPI1	ALDOB;GPI	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	12	11	0.9167	adequate	FBP1;FBP2;FOXO1;G6PC;G6PC2;G6PC3;MLXIPL;PCK1;PCK2;PGM1;SLC37A4	PC	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	12	0	0.0	unresolved		FBP1;FBP2;FOXO1;G6PC;G6PC2;G6PC3;MLXIPL;PC;PCK1;PCK2;PGM1;SLC37A4	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	12	12	1.0	adequate	FBP1;FBP2;FOXO1;G6PC;G6PC2;G6PC3;MLXIPL;PC;PCK1;PCK2;PGM1;SLC37A4		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	12	9	0.75	adequate	FBP1;FBP2;FOXO1;G6PC3;MLXIPL;PCK1;PCK2;PGM1;SLC37A4	G6PC;G6PC2;PC	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	10	10	1.0	adequate	GBE1;GYS1;GYS2;PGM1;PGM2;PPP1R3A;PPP1R3B;PPP1R3C;PPP1R3D;UGP2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	10	0	0.0	unresolved		GBE1;GYS1;GYS2;PGM1;PGM2;PPP1R3A;PPP1R3B;PPP1R3C;PPP1R3D;UGP2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	10	10	1.0	adequate	GBE1;GYS1;GYS2;PGM1;PGM2;PPP1R3A;PPP1R3B;PPP1R3C;PPP1R3D;UGP2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	10	9	0.9	adequate	GBE1;GYS1;PGM1;PGM2;PPP1R3A;PPP1R3B;PPP1R3C;PPP1R3D;UGP2	GYS2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	12	12	1.0	adequate	AGL;CALM1;CALM2;PGM1;PHKA1;PHKA2;PHKB;PHKG1;PHKG2;PYGB;PYGL;PYGM		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	12	0	0.0	unresolved		AGL;CALM1;CALM2;PGM1;PHKA1;PHKA2;PHKB;PHKG1;PHKG2;PYGB;PYGL;PYGM	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	12	10	0.8333	adequate	AGL;PGM1;PHKA1;PHKA2;PHKB;PHKG1;PHKG2;PYGB;PYGL;PYGM	CALM1;CALM2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	12	12	1.0	adequate	AGL;CALM1;CALM2;PGM1;PHKA1;PHKA2;PHKB;PHKG1;PHKG2;PYGB;PYGL;PYGM		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	10	9	0.9	adequate	PGD;PGLS;PRPS1;PRPS2;RPE;RPIA;TALDO1;TKT;TKTL1	G6PD	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	10	0	0.0	unresolved		G6PD;PGD;PGLS;PRPS1;PRPS2;RPE;RPIA;TALDO1;TKT;TKTL1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	10	10	1.0	adequate	G6PD;PGD;PGLS;PRPS1;PRPS2;RPE;RPIA;TALDO1;TKT;TKTL1		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	10	9	0.9	adequate	PGD;PGLS;PRPS1;PRPS2;RPE;RPIA;TALDO1;TKT;TKTL1	G6PD	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	carbohydrate_inflammatory_carbon	TCA_OXPHOS	TCA cycle and oxidative phosphorylation	23	20	0.8696	adequate	ACO2;COX4I1;CS;DLST;IDH3A;IDH3B;IDH3G;MDH2;NDUFS1;NDUFS2;NDUFV1;OGDH;SDHA;SDHB;SDHC;SDHD;SUCLG1;SUCLG2;UQCRC1;UQCRC2	ATP5F1A;ATP5F1B;FH	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	carbohydrate_inflammatory_carbon	TCA_OXPHOS	TCA cycle and oxidative phosphorylation	23	0	0.0	unresolved		ACO2;ATP5F1A;ATP5F1B;COX4I1;CS;DLST;FH;IDH3A;IDH3B;IDH3G;MDH2;NDUFS1;NDUFS2;NDUFV1;OGDH;SDHA;SDHB;SDHC;SDHD;SUCLG1;SUCLG2;UQCRC1;UQCRC2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	carbohydrate_inflammatory_carbon	TCA_OXPHOS	TCA cycle and oxidative phosphorylation	23	21	0.913	adequate	ACO2;COX4I1;CS;DLST;FH;IDH3A;IDH3B;IDH3G;MDH2;NDUFS1;NDUFS2;NDUFV1;OGDH;SDHA;SDHB;SDHC;SDHD;SUCLG1;SUCLG2;UQCRC1;UQCRC2	ATP5F1A;ATP5F1B	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	carbohydrate_inflammatory_carbon	TCA_OXPHOS	TCA cycle and oxidative phosphorylation	23	20	0.8696	adequate	ACO2;COX4I1;CS;DLST;IDH3A;IDH3B;IDH3G;MDH2;NDUFS1;NDUFS2;NDUFV1;OGDH;SDHA;SDHB;SDHC;SDHD;SUCLG1;SUCLG2;UQCRC1;UQCRC2	ATP5F1A;ATP5F1B;FH	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	15	15	1.0	adequate	BNIP3;BNIP3L;EGLN1;EGLN3;EPAS1;HIF1A;HK2;LDHA;PDK1;PDK3;PFKFB3;PFKFB4;SLC16A1;SLC16A3;VEGFA		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	15	0	0.0	unresolved		BNIP3;BNIP3L;EGLN1;EGLN3;EPAS1;HIF1A;HK2;LDHA;PDK1;PDK3;PFKFB3;PFKFB4;SLC16A1;SLC16A3;VEGFA	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	15	14	0.9333	adequate	BNIP3;BNIP3L;EGLN1;EGLN3;EPAS1;HIF1A;HK2;LDHA;PDK1;PDK3;PFKFB3;PFKFB4;SLC16A1;VEGFA	SLC16A3	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	15	15	1.0	adequate	BNIP3;BNIP3L;EGLN1;EGLN3;EPAS1;HIF1A;HK2;LDHA;PDK1;PDK3;PFKFB3;PFKFB4;SLC16A1;SLC16A3;VEGFA		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	15	15	1.0	adequate	ACACA;ACACB;CAB39;CAMKK2;PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKAG1;PRKAG2;PRKAG3;STK11;STRADA;TSC2;ULK1		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	15	0	0.0	unresolved		ACACA;ACACB;CAB39;CAMKK2;PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKAG1;PRKAG2;PRKAG3;STK11;STRADA;TSC2;ULK1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	15	15	1.0	adequate	ACACA;ACACB;CAB39;CAMKK2;PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKAG1;PRKAG2;PRKAG3;STK11;STRADA;TSC2;ULK1		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	15	13	0.8667	adequate	ACACA;CAB39;CAMKK2;PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKAG1;PRKAG2;STK11;STRADA;TSC2;ULK1	ACACB;PRKAG3	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	carbohydrate_inflammatory_carbon	MTOR_SIGNALING	mTOR signaling	19	19	1.0	adequate	AKT1;EIF4EBP1;LAMTOR1;LAMTOR2;LAMTOR3;LAMTOR4;LAMTOR5;MLST8;MTOR;RHEB;RICTOR;RPS6KB1;RPTOR;RRAGA;RRAGB;RRAGC;RRAGD;TSC1;TSC2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	carbohydrate_inflammatory_carbon	MTOR_SIGNALING	mTOR signaling	19	0	0.0	unresolved		AKT1;EIF4EBP1;LAMTOR1;LAMTOR2;LAMTOR3;LAMTOR4;LAMTOR5;MLST8;MTOR;RHEB;RICTOR;RPS6KB1;RPTOR;RRAGA;RRAGB;RRAGC;RRAGD;TSC1;TSC2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	carbohydrate_inflammatory_carbon	MTOR_SIGNALING	mTOR signaling	19	19	1.0	adequate	AKT1;EIF4EBP1;LAMTOR1;LAMTOR2;LAMTOR3;LAMTOR4;LAMTOR5;MLST8;MTOR;RHEB;RICTOR;RPS6KB1;RPTOR;RRAGA;RRAGB;RRAGC;RRAGD;TSC1;TSC2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	carbohydrate_inflammatory_carbon	MTOR_SIGNALING	mTOR signaling	19	19	1.0	adequate	AKT1;EIF4EBP1;LAMTOR1;LAMTOR2;LAMTOR3;LAMTOR4;LAMTOR5;MLST8;MTOR;RHEB;RICTOR;RPS6KB1;RPTOR;RRAGA;RRAGB;RRAGC;RRAGD;TSC1;TSC2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	12	11	0.9167	adequate	SLC2A1;SLC2A10;SLC2A13;SLC2A2;SLC2A3;SLC2A4;SLC2A5;SLC2A6;SLC2A8;SLC5A1;SLC5A2	SLC2A14	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	12	0	0.0	unresolved		SLC2A1;SLC2A10;SLC2A13;SLC2A14;SLC2A2;SLC2A3;SLC2A4;SLC2A5;SLC2A6;SLC2A8;SLC5A1;SLC5A2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	12	12	1.0	adequate	SLC2A1;SLC2A10;SLC2A13;SLC2A14;SLC2A2;SLC2A3;SLC2A4;SLC2A5;SLC2A6;SLC2A8;SLC5A1;SLC5A2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	12	8	0.6667	adequate	SLC2A1;SLC2A10;SLC2A13;SLC2A3;SLC2A4;SLC2A5;SLC2A6;SLC2A8	SLC2A14;SLC2A2;SLC5A1;SLC5A2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	16	14	0.875	adequate	AGER;CYBB;HMGB1;IL6;MAPK1;MAPK3;NFKB1;NOX1;RAC1;RELA;S100A8;S100A9;S100B;TNF	DIAPH1;S100A12	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	16	0	0.0	unresolved		AGER;CYBB;DIAPH1;HMGB1;IL6;MAPK1;MAPK3;NFKB1;NOX1;RAC1;RELA;S100A12;S100A8;S100A9;S100B;TNF	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	16	16	1.0	adequate	AGER;CYBB;DIAPH1;HMGB1;IL6;MAPK1;MAPK3;NFKB1;NOX1;RAC1;RELA;S100A12;S100A8;S100A9;S100B;TNF		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	16	14	0.875	adequate	AGER;CYBB;DIAPH1;HMGB1;IL6;MAPK1;MAPK3;NFKB1;NOX1;RAC1;RELA;S100A8;S100A9;TNF	S100A12;S100B	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	18	18	1.0	adequate	AKT1;AKT2;FOXO1;GRB2;GSK3B;INSR;IRS1;IRS2;IRS4;PDPK1;PIK3CA;PIK3CB;PIK3CD;PIK3R1;SHC1;SLC2A4;SOS1;TBC1D4		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	18	0	0.0	unresolved		AKT1;AKT2;FOXO1;GRB2;GSK3B;INSR;IRS1;IRS2;IRS4;PDPK1;PIK3CA;PIK3CB;PIK3CD;PIK3R1;SHC1;SLC2A4;SOS1;TBC1D4	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	18	18	1.0	adequate	AKT1;AKT2;FOXO1;GRB2;GSK3B;INSR;IRS1;IRS2;IRS4;PDPK1;PIK3CA;PIK3CB;PIK3CD;PIK3R1;SHC1;SLC2A4;SOS1;TBC1D4		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	18	17	0.9444	adequate	AKT1;AKT2;FOXO1;GRB2;GSK3B;INSR;IRS1;IRS2;PDPK1;PIK3CA;PIK3CB;PIK3CD;PIK3R1;SHC1;SLC2A4;SOS1;TBC1D4	IRS4	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	17	17	1.0	adequate	AKT1;AKT2;AKT3;FOXO1;FOXO3;GSK3B;PDPK1;PHLPP1;PHLPP2;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PIK3R1;PIK3R2;PIK3R5;PTEN		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	17	0	0.0	unresolved		AKT1;AKT2;AKT3;FOXO1;FOXO3;GSK3B;PDPK1;PHLPP1;PHLPP2;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PIK3R1;PIK3R2;PIK3R5;PTEN	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	17	17	1.0	adequate	AKT1;AKT2;AKT3;FOXO1;FOXO3;GSK3B;PDPK1;PHLPP1;PHLPP2;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PIK3R1;PIK3R2;PIK3R5;PTEN		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	17	17	1.0	adequate	AKT1;AKT2;AKT3;FOXO1;FOXO3;GSK3B;PDPK1;PHLPP1;PHLPP2;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PIK3R1;PIK3R2;PIK3R5;PTEN		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	13	13	1.0	adequate	AKT1;DEPTOR;EIF4EBP1;INSR;IRS1;IRS2;MLST8;MTOR;RHEB;RPS6KB1;RPTOR;TSC1;TSC2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	13	0	0.0	unresolved		AKT1;DEPTOR;EIF4EBP1;INSR;IRS1;IRS2;MLST8;MTOR;RHEB;RPS6KB1;RPTOR;TSC1;TSC2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	13	13	1.0	adequate	AKT1;DEPTOR;EIF4EBP1;INSR;IRS1;IRS2;MLST8;MTOR;RHEB;RPS6KB1;RPTOR;TSC1;TSC2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	13	13	1.0	adequate	AKT1;DEPTOR;EIF4EBP1;INSR;IRS1;IRS2;MLST8;MTOR;RHEB;RPS6KB1;RPTOR;TSC1;TSC2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	10	10	1.0	adequate	ACACA;FOXO1;IRS1;PPARGC1A;PRKAA1;PRKAA2;RPTOR;SIRT1;STK11;TSC2		gene-coverage feasibility only; expression direction and statistical signal remain untested
